w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.784995499999999993e+03,1.088328199999999924e+03,6.308728999999999587e+02,1.778394399999999905e+03,1.099354499999999916e+03,6.216486999999999625e+02,2.940172900000000027e+03,4.059421299999999974e+03,9.469190999999999576e+02,9.390757999999999583e+02,5.279817000000000462e+02,5.291962999999999511e+02,1.160853000000000065e+03,1.157902599999999893e+03,8.694428000000000338e+02,8.742228999999999814e+02
1.797523300000000063e+03,1.127167799999999943e+03,6.188270999999999731e+02,1.790674299999999903e+03,1.138200599999999895e+03,6.073555999999999813e+02,2.901159999999999854e+03,4.174588700000000244e+03,9.339326999999999543e+02,9.275334000000000287e+02,5.217233999999999696e+02,5.209705000000000155e+02,1.178956100000000106e+03,1.174352100000000064e+03,9.099059999999999491e+02,9.143745000000000118e+02
1.811703600000000051e+03,1.171220499999999902e+03,6.043952000000000453e+02,1.802252600000000029e+03,1.180260800000000017e+03,5.955493999999999915e+02,2.852137900000000172e+03,4.309244200000000092e+03,9.191986000000000558e+02,9.108010000000000446e+02,5.126145000000000209e+02,5.125238000000000511e+02,1.200561300000000074e+03,1.196119400000000041e+03,9.559448999999999614e+02,9.596186000000000149e+02
1.818884099999999989e+03,1.215896600000000035e+03,5.927495999999999867e+02,1.816524699999999939e+03,1.222077399999999898e+03,5.820972000000000435e+02,2.812343699999999899e+03,4.431885900000000220e+03,9.066316000000000486e+02,8.974705000000000155e+02,5.052151999999999816e+02,5.060264000000000237e+02,1.214907099999999900e+03,1.216929499999999962e+03,1.001776399999999967e+03,1.001272900000000050e+03
1.827711600000000089e+03,1.259722099999999955e+03,5.812005000000000337e+02,1.827426799999999957e+03,1.264206400000000031e+03,5.706450999999999567e+02,2.768906800000000203e+03,4.558005699999999706e+03,8.920416999999999916e+02,8.841291999999999689e+02,4.982588999999999828e+02,4.974769999999999754e+02,1.232195799999999963e+03,1.235840300000000070e+03,1.047137799999999970e+03,1.045831799999999930e+03
1.845246499999999969e+03,1.302842200000000048e+03,5.667458000000000311e+02,1.835280700000000024e+03,1.314924999999999955e+03,5.595304999999999609e+02,2.728178499999999985e+03,4.692392200000000230e+03,8.799283000000000357e+02,8.702291999999999916e+02,4.895753000000000270e+02,4.914456999999999880e+02,1.254542300000000068e+03,1.251492099999999937e+03,1.091788600000000088e+03,1.097569199999999910e+03
1.855323799999999892e+03,1.356250500000000102e+03,5.529115000000000464e+02,1.853308800000000019e+03,1.359886700000000019e+03,5.466237999999999602e+02,2.685641500000000178e+03,4.834663599999999860e+03,8.662270999999999503e+02,8.565522999999999456e+02,4.822484000000000037e+02,4.836136999999999944e+02,1.271704400000000078e+03,1.276680599999999913e+03,1.145305900000000065e+03,1.143972700000000032e+03
1.867135999999999967e+03,1.404716300000000047e+03,5.415454999999999472e+02,1.862456300000000056e+03,1.409780799999999999e+03,5.350063999999999851e+02,2.644028999999999996e+03,4.972612299999999777e+03,8.524858000000000402e+02,8.437732999999999493e+02,4.755165999999999826e+02,4.752533000000000243e+02,1.292735200000000077e+03,1.292961999999999989e+03,1.193660200000000032e+03,1.196254899999999907e+03
1.875725899999999911e+03,1.458006499999999960e+03,5.300829999999999700e+02,1.873972199999999930e+03,1.458155899999999974e+03,5.238619999999999663e+02,2.603344099999999798e+03,5.112461400000000140e+03,8.404832000000000107e+02,8.296796000000000504e+02,4.675846000000000231e+02,4.685966999999999985e+02,1.308741700000000037e+03,1.313396300000000110e+03,1.248005900000000111e+03,1.245317500000000109e+03
1.886252999999999929e+03,1.505421599999999899e+03,5.204411999999999807e+02,1.881485400000000027e+03,1.511236400000000003e+03,5.147474999999999454e+02,2.557793299999999817e+03,5.257791799999999967e+03,8.251919000000000324e+02,8.161140000000000327e+02,4.599796000000000049e+02,4.595077999999999747e+02,1.330323499999999967e+03,1.330688499999999976e+03,1.297620799999999917e+03,1.302159000000000106e+03
