w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.871398300000000063e+03,9.421728000000000520e+02,8.417917999999999665e+02,1.857531600000000026e+03,9.634868999999999915e+02,8.320834999999999582e+02,3.509199799999999868e+03,3.795265100000000075e+03,1.034533200000000079e+03,1.030539700000000039e+03,7.222800999999999476e+02,7.248468000000000302e+02,1.094794399999999996e+03,1.084350899999999911e+03,8.047551999999999452e+02,8.143645999999999958e+02
1.884567500000000109e+03,9.774985000000000355e+02,8.272229999999999563e+02,1.865056800000000067e+03,1.003056299999999965e+03,8.175435999999999694e+02,3.465930299999999988e+03,3.905015400000000227e+03,1.020038300000000049e+03,1.020397799999999961e+03,7.145457999999999856e+02,7.139483999999999924e+02,1.116576800000000048e+03,1.096489100000000008e+03,8.391281000000000176e+02,8.558214000000000397e+02
1.898655199999999923e+03,1.020416600000000017e+03,8.089897999999999456e+02,1.874141300000000001e+03,1.045593200000000024e+03,8.019392000000000280e+02,3.410395500000000084e+03,4.035339800000000196e+03,1.006740800000000036e+03,1.001904700000000048e+03,7.014747999999999593e+02,7.032752000000000407e+02,1.138661100000000033e+03,1.117685199999999895e+03,8.821848999999999705e+02,8.998085999999999558e+02
1.904853399999999965e+03,1.064883100000000013e+03,7.937201000000000022e+02,1.883720299999999952e+03,1.086463500000000067e+03,7.852377000000000180e+02,3.362223199999999906e+03,4.152654900000000453e+03,9.936438000000000557e+02,9.869968000000000075e+02,6.909058999999999742e+02,6.936766999999999825e+02,1.153921499999999924e+03,1.136578400000000101e+03,9.259854000000000269e+02,9.391695999999999458e+02
1.914076999999999998e+03,1.105514200000000073e+03,7.811944999999999482e+02,1.893283799999999928e+03,1.128533400000000029e+03,7.708744000000000369e+02,3.319224299999999857e+03,4.270252999999999702e+03,9.813088000000000193e+02,9.752205999999999904e+02,6.810969000000000051e+02,6.845979999999999563e+02,1.171137500000000045e+03,1.153096800000000030e+03,9.682424999999999500e+02,9.807762000000000171e+02
1.924999099999999999e+03,1.150359500000000025e+03,7.656848999999999705e+02,1.901086099999999988e+03,1.174483400000000074e+03,7.582125999999999522e+02,3.274657799999999952e+03,4.396167800000000170e+03,9.693750000000000000e+02,9.613470999999999549e+02,6.715905000000000200e+02,6.753451999999999771e+02,1.189299500000000080e+03,1.170976699999999937e+03,1.011778500000000008e+03,1.027113100000000031e+03
1.932628099999999904e+03,1.197502999999999929e+03,7.516974999999999909e+02,1.910871499999999969e+03,1.219072499999999991e+03,7.452590999999999894e+02,3.226938599999999951e+03,4.526093100000000049e+03,9.562912000000000035e+02,9.463297000000000025e+02,6.616855000000000473e+02,6.656322000000000116e+02,1.206441000000000031e+03,1.191843000000000075e+03,1.058410900000000083e+03,1.072398200000000088e+03
1.937122499999999945e+03,1.244728599999999915e+03,7.398647999999999456e+02,1.921479100000000017e+03,1.263536200000000008e+03,7.311340999999999894e+02,3.181512499999999818e+03,4.652352799999999661e+03,9.413940999999999804e+02,9.352617000000000189e+02,6.539040999999999713e+02,6.539525999999999613e+02,1.221753500000000031e+03,1.210416699999999992e+03,1.105664199999999937e+03,1.117518399999999929e+03
1.946334599999999909e+03,1.293498900000000049e+03,7.252675000000000409e+02,1.927086600000000089e+03,1.309349300000000085e+03,7.218777999999999793e+02,3.139807800000000043e+03,4.779606899999999769e+03,9.322566000000000486e+02,9.205125000000000455e+02,6.429125999999999976e+02,6.471260999999999513e+02,1.236967900000000100e+03,1.228060400000000072e+03,1.153963899999999967e+03,1.163614700000000084e+03
1.955119400000000041e+03,1.340855700000000070e+03,7.115208000000000084e+02,1.932018000000000029e+03,1.359055200000000013e+03,7.109453999999999496e+02,3.090948300000000017e+03,4.914566200000000208e+03,9.189357999999999720e+02,9.058111000000000104e+02,6.313887999999999465e+02,6.378125999999999749e+02,1.256075399999999945e+03,1.244974200000000110e+03,1.202095900000000029e+03,1.214420699999999897e+03
