w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.604519800000000032e+03,9.656240000000000236e+02,6.561793999999999869e+02,1.598299099999999953e+03,9.763532999999999902e+02,6.448555999999999813e+02,3.061495899999999892e+03,3.380335300000000188e+03,1.028203999999999951e+03,9.966842000000000326e+02,5.092989000000000033e+02,5.303088000000000193e+02,1.053434600000000046e+03,1.072169100000000071e+03,6.363857000000000426e+02,6.213459000000000287e+02
1.624665999999999940e+03,9.863949999999999818e+02,6.417000000000000455e+02,1.608571599999999989e+03,1.005467999999999961e+03,6.313447999999999638e+02,3.034710199999999986e+03,3.459435199999999895e+03,1.018979100000000017e+03,9.871378999999999451e+02,5.044544999999999959e+02,5.271386999999999716e+02,1.069821200000000090e+03,1.080270299999999907e+03,6.605062000000000353e+02,6.518374999999999773e+02
1.640896199999999908e+03,1.016436100000000010e+03,6.238325999999999567e+02,1.625453299999999899e+03,1.034630000000000109e+03,6.158396999999999935e+02,3.008998900000000049e+03,3.544088999999999942e+03,1.008702499999999986e+03,9.793612000000000535e+02,5.015996999999999844e+02,5.223355000000000246e+02,1.082467300000000023e+03,1.093000999999999976e+03,6.893953999999999951e+02,6.822252999999999474e+02
1.658540899999999965e+03,1.046338299999999890e+03,6.091420000000000528e+02,1.637259399999999914e+03,1.062947100000000091e+03,6.034568000000000438e+02,2.982487099999999828e+03,3.631197400000000016e+03,9.998541000000000167e+02,9.699483999999999924e+02,4.977896999999999821e+02,5.178949000000000069e+02,1.098252999999999929e+03,1.102716799999999921e+03,7.191244000000000369e+02,7.141032000000000153e+02
1.678971000000000004e+03,1.073849400000000060e+03,5.929823999999999842e+02,1.648174700000000030e+03,1.097464699999999993e+03,5.901996000000000322e+02,2.954930499999999938e+03,3.722711299999999937e+03,9.907844999999999800e+02,9.599813000000000329e+02,4.927363000000000284e+02,5.144284000000000106e+02,1.115442199999999957e+03,1.113368500000000040e+03,7.478397999999999683e+02,7.490607999999999720e+02
1.699281500000000051e+03,1.103300500000000056e+03,5.792160000000000082e+02,1.657288399999999911e+03,1.136035300000000007e+03,5.751757000000000062e+02,2.919497199999999793e+03,3.826800200000000132e+03,9.793451999999999771e+02,9.468640000000000327e+02,4.863220999999999776e+02,5.099658999999999764e+02,1.137675500000000056e+03,1.123971500000000106e+03,7.794551999999999907e+02,7.886979999999999791e+02
1.708692500000000109e+03,1.138030299999999897e+03,5.683060000000000400e+02,1.667737200000000030e+03,1.170035000000000082e+03,5.620516000000000076e+02,2.885243100000000140e+03,3.925609500000000025e+03,9.689921000000000504e+02,9.338191000000000486e+02,4.804576999999999884e+02,5.049741999999999962e+02,1.149261600000000044e+03,1.139405400000000100e+03,8.173174000000000206e+02,8.226250999999999749e+02
1.723390499999999975e+03,1.174785000000000082e+03,5.540289000000000215e+02,1.681866800000000012e+03,1.207582900000000109e+03,5.503017999999999574e+02,2.849741899999999987e+03,4.038213999999999942e+03,9.564840000000000373e+02,9.216408000000000129e+02,4.748004000000000246e+02,4.998167000000000257e+02,1.166106800000000021e+03,1.156538099999999986e+03,8.558132000000000517e+02,8.627558999999999969e+02
1.736712199999999939e+03,1.209130000000000109e+03,5.437349000000000387e+02,1.695870799999999917e+03,1.245603800000000092e+03,5.381149000000000342e+02,2.816860900000000129e+03,4.148305699999999888e+03,9.452548000000000457e+02,9.110616999999999734e+02,4.696338000000000079e+02,4.939105999999999881e+02,1.183268100000000004e+03,1.171064800000000105e+03,8.924203999999999724e+02,9.045524000000000342e+02
1.752878200000000106e+03,1.245295499999999947e+03,5.324728999999999814e+02,1.706087199999999939e+03,1.285582400000000007e+03,5.274315000000000282e+02,2.780421800000000076e+03,4.265325899999999820e+03,9.319656999999999698e+02,8.999061000000000377e+02,4.642988000000000284e+02,4.872511999999999830e+02,1.204235400000000027e+03,1.184654999999999973e+03,9.311467000000000098e+02,9.482888000000000375e+02
