feat1,feat2,feat3,feat4,feat5
1.000000000000000000e+00,8.362431085934167729e-01,6.901768614529876222e-01,6.318189722696720967e-01,5.859798694174127576e-01
1.000000000000000000e+00,8.371804184253821557e-01,6.915415072934728569e-01,6.334199056517823001e-01,5.877275030808015721e-01
1.000000000000000000e+00,8.381001787413683290e-01,6.928954349499435450e-01,6.349722974371693196e-01,5.894365752148902349e-01
1.000000000000000000e+00,8.389870500179417157e-01,6.942065245258798312e-01,6.364890757813677080e-01,5.911166279706909776e-01
1.000000000000000000e+00,8.398422465226791367e-01,6.954686630786092172e-01,6.379598862463902176e-01,5.927236170480469912e-01
1.000000000000000000e+00,8.406938690983852824e-01,6.966963129998693383e-01,6.393884301381126400e-01,5.942991786644684638e-01
1.000000000000000000e+00,8.415104092498260080e-01,6.978926077553694318e-01,6.407749336569721343e-01,5.958181247434622962e-01
1.000000000000000000e+00,8.422954982996009310e-01,6.990717511076034452e-01,6.421320712479002824e-01,5.973149011565301869e-01
1.000000000000000000e+00,8.430543095525995234e-01,7.002081647632998340e-01,6.434571483733798614e-01,5.987715736559510171e-01
1.000000000000000000e+00,8.437944190801200950e-01,7.013326743687753329e-01,6.447490044617518734e-01,6.001674923476628676e-01
1.000000000000000000e+00,8.445171196706697803e-01,7.024046845633779013e-01,6.460162730519719565e-01,6.015408615452640939e-01
1.000000000000000000e+00,8.452249563647427077e-01,7.034572229380916530e-01,6.472435426780377421e-01,6.028803948431118442e-01
1.000000000000000000e+00,8.459222372138023305e-01,7.044697737896968848e-01,6.484294022506710276e-01,6.041871619893329770e-01
1.000000000000000000e+00,8.465973121209811048e-01,7.054665702228122282e-01,6.495952876874554471e-01,6.054541448054321373e-01
1.000000000000000000e+00,8.472560599286678151e-01,7.064333315302778749e-01,6.507231808545328455e-01,6.067048040037011924e-01
1.000000000000000000e+00,8.478965056345744156e-01,7.073919608437281292e-01,6.518420685376917767e-01,6.079146284337183515e-01
1.000000000000000000e+00,8.485211816174209609e-01,7.083166799978228845e-01,6.529325493101777456e-01,6.091006989269024396e-01
1.000000000000000000e+00,8.491397443002697276e-01,7.092278360926707048e-01,6.539976437471012316e-01,6.102608183456582625e-01
1.000000000000000000e+00,8.497423630608973433e-01,7.101201933369045705e-01,6.550338273328251137e-01,6.114049625243950237e-01
1.000000000000000000e+00,8.503333277983953220e-01,7.109885120470840203e-01,6.560581848742833566e-01,6.125370518005255338e-01
1.000000000000000000e+00,8.509096635035749978e-01,7.118464395153472069e-01,6.570651003531160494e-01,6.136193831361289597e-01
1.000000000000000000e+00,8.514757510554883391e-01,7.126826718261837224e-01,6.580498194870726403e-01,6.146984126972334650e-01
1.000000000000000000e+00,8.520257032304996425e-01,7.135108266803117383e-01,6.590050379241568779e-01,6.157432876815468470e-01
