w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.732987000000000080e+03,9.598529999999999518e+02,6.878980000000000246e+02,1.789401000000000067e+03,9.630910000000000082e+02,6.506570000000000391e+02,3.019195000000000164e+03,3.760692000000000007e+03,9.350739999999999554e+02,1.011352999999999952e+03,5.568849999999999909e+02,5.188830000000000382e+02,1.136265000000000100e+03,1.119261999999999944e+03,7.535140000000000100e+02,7.546509999999999536e+02
1.739865999999999985e+03,9.854279999999999973e+02,6.792759999999999536e+02,1.793076999999999998e+03,9.859410000000000309e+02,6.407889999999999873e+02,2.988954999999999927e+03,3.831422000000000025e+03,9.235610000000000355e+02,1.002850000000000023e+03,5.519869999999999663e+02,5.135570000000000164e+02,1.150873000000000047e+03,1.126414999999999964e+03,7.791490000000000009e+02,7.779850000000000136e+02
1.753942000000000007e+03,1.009245000000000005e+03,6.702240000000000464e+02,1.802102000000000089e+03,1.009605999999999995e+03,6.297219999999999800e+02,2.956155999999999949e+03,3.914684999999999945e+03,9.160539999999999736e+02,9.884049999999999727e+02,5.460969999999999800e+02,5.086000000000000227e+02,1.167560999999999922e+03,1.140711000000000013e+03,8.046989999999999554e+02,8.047140000000000555e+02
1.754304000000000087e+03,1.037733999999999924e+03,6.589550000000000409e+02,1.822255000000000109e+03,1.028478000000000065e+03,6.184700000000000273e+02,2.927639000000000124e+03,3.988556999999999789e+03,9.069400000000000546e+02,9.799349999999999454e+02,5.397949999999999591e+02,5.039689999999999941e+02,1.169688000000000102e+03,1.164358999999999924e+03,8.355700000000000500e+02,8.219400000000000546e+02
1.752640000000000100e+03,1.065720000000000027e+03,6.526920000000000073e+02,1.829923999999999978e+03,1.049338999999999942e+03,6.093519999999999754e+02,2.910485999999999876e+03,4.045181000000000040e+03,9.025960000000000036e+02,9.730940000000000509e+02,5.368500000000000227e+02,5.009460000000000264e+02,1.169607999999999947e+03,1.176003999999999905e+03,8.629980000000000473e+02,8.395710000000000264e+02
1.771849999999999909e+03,1.084852000000000089e+03,6.392210000000000036e+02,1.833715999999999894e+03,1.085332000000000107e+03,5.991430000000000291e+02,2.889014999999999873e+03,4.121099000000000160e+03,8.967069999999999936e+02,9.655209999999999582e+02,5.307440000000000282e+02,4.990430000000000064e+02,1.185999000000000024e+03,1.182825000000000045e+03,8.834729999999999563e+02,8.718020000000000209e+02
1.763019999999999982e+03,1.119099999999999909e+03,6.310299999999999727e+02,1.841413999999999987e+03,1.105604000000000042e+03,5.900979999999999563e+02,2.867407000000000153e+03,4.178859000000000378e+03,8.894980000000000473e+02,9.583419999999999845e+02,5.271839999999999691e+02,4.953829999999999814e+02,1.182892000000000053e+03,1.194791999999999916e+03,9.145760000000000218e+02,8.895990000000000464e+02
1.766525000000000091e+03,1.149395999999999958e+03,6.225199999999999818e+02,1.850428000000000111e+03,1.129772999999999911e+03,5.782870000000000346e+02,2.855342000000000098e+03,4.237587000000000444e+03,8.825879999999999654e+02,9.572390000000000327e+02,5.289429999999999836e+02,4.895720000000000027e+02,1.189057999999999993e+03,1.201035000000000082e+03,9.388519999999999754e+02,9.116420000000000528e+02
1.773700000000000045e+03,1.183503999999999905e+03,6.093799999999999955e+02,1.861602000000000089e+03,1.159385999999999967e+03,5.682359999999999900e+02,2.823143999999999778e+03,4.328663999999999760e+03,8.708819999999999482e+02,9.476409999999999627e+02,5.245629999999999882e+02,4.830579999999999927e+02,1.202589999999999918e+03,1.215999000000000024e+03,9.695489999999999782e+02,9.435259999999999536e+02
1.775087999999999965e+03,1.215678000000000111e+03,5.985950000000000273e+02,1.872079999999999927e+03,1.180711000000000013e+03,5.634819999999999709e+02,2.802083000000000084e+03,4.399551000000000386e+03,8.647770000000000437e+02,9.409099999999999682e+02,5.204859999999999900e+02,4.789100000000000250e+02,1.206498000000000047e+03,1.229647999999999911e+03,9.986000000000000227e+02,9.678049999999999500e+02
